"Date","SPY","AAPL","GOOG","MRK","JNJ","WMT","TGT"
"2019-05-08",-0.0014,2e-04,-0.0067,0.0036,-0.0013,-0.0099,0.0049
"2019-05-09",-0.003,-0.0107,-0.0033,0.0019,-0.0076,-0.0023,-0.004
"2019-05-10",0.005,-0.0139,0.0016,-0.0018,0.0023,0.0238,-0.0063
"2019-05-13",-0.0251,-0.0581,-0.0277,-0.013,-0.0133,-0.0198,-0.0397
"2019-05-14",0.009,0.0158,-0.0102,0.0032,-0.0028,0.004,0.0031
"2019-05-15",0.0059,0.012,0.0391,0.0017,7e-04,-0.0041,-0.0063
"2019-05-16",0.0093,-0.0044,0.0127,0.0204,0.0095,0.0143,-4e-04
"2019-05-17",-0.0065,-0.0057,-0.0141,-0.0052,0.0029,-0.0044,0.0016
"2019-05-20",-0.0066,-0.0313,-0.0202,0.002,-0.0014,0.0065,0.0168
"2019-05-21",0.009,0.0192,0.0095,0.0079,-0.0022,-0.0039,-0.0017
"2019-05-22",-0.0031,-0.0205,0.0016,0.0186,0.0046,0.011,0.0778
"2019-05-23",-0.0122,-0.0171,-0.0092,5e-04,0.0074,-0.0036,0.0237
"2019-05-24",0.0023,-0.0038,-0.0064,0.0019,1e-04,0.008,0.0273
"2019-05-28",-0.0093,-0.0041,6e-04,-0.0112,-0.0128,-0.0024,-0.0098
"2019-05-29",-0.0067,-0.0048,-0.0156,-0.0112,-0.0419,-0.0029,-0.014
"2019-05-30",0.0027,0.0052,0.0013,0.004,0.0059,7e-04,0.0094
"2019-05-31",-0.0135,-0.0181,-0.0128,-0.0059,-0.0073,-0.0073,7e-04
"2019-06-03",-0.0025,-0.0101,-0.0611,0.0133,0.0022,0.0051,0.0311
"2019-06-04",0.0217,0.0366,0.0162,0.0102,0.0174,0.0059,0.035
"2019-06-05",0.0087,0.0161,-0.0103,0.0075,0.0049,0.0181,-0.0042
"2019-06-06",0.0065,0.0147,0.002,-0.0031,0.0171,0.0066,0.0025
"2019-06-07",0.01,0.0266,0.0208,0.0125,0.0137,0.009,0.0134
"2019-06-10",0.0046,0.0128,0.0135,2e-04,0.0034,0.0138,0.0081
"2019-06-11",-2e-04,0.0116,-0.0015,0.0061,0.0055,0.0039,0.0034
"2019-06-12",-0.0018,-0.0032,-0.0016,0.0088,0.0136,0.0082,0.0047
"2019-06-13",0.0041,-2e-04,0.0109,-0.0097,-0.0068,-0.0016,5e-04
"2019-06-14",-0.0011,-0.0073,-0.0031,0.0052,-0.0044,0.0039,-0.0058
"2019-06-17",4e-04,0.006,0.0066,0.0063,-0.0046,8e-04,-0.0074
"2019-06-18",0.0105,0.0235,0.0102,0.0143,0.0057,0.0045,-0.0077
"2019-06-19",0.0023,-0.0029,-0.0012,0.0103,0.0016,-3e-04,-0.0036
"2019-06-20",0.0096,0.008,0.0082,-0.0089,0.0125,0.0064,6e-04
"2019-06-21",-0.0015,-0.0034,0.0094,-4e-04,-8e-04,0.0073,0.0161
"2019-06-24",-0.0012,-0.001,-0.0057,0.0111,0.0068,0.001,-0.01
"2019-06-25",-0.0098,-0.0152,-0.0261,-0.0032,0.0082,-0.0047,-0.0118
"2019-06-26",-0.001,0.0216,-0.006,-0.0199,-0.0166,-0.0051,-0.0013
"2019-06-27",0.0035,-3e-04,-0.0035,0.0035,-0.0082,-5e-04,0.0033
"2019-06-28",0.0051,-0.0091,0.0046,2e-04,-0.01,0.0035,0.0086
"2019-07-01",0.0091,0.0183,0.0158,0.0107,6e-04,0.0012,0.0038
"2019-07-02",0.0026,0.0059,0.0121,0.009,0.0048,0.0089,0.0012
"2019-07-03",0.008,0.0083,0.0093,0.0163,0.0151,0.0065,0.0099
"2019-07-05",-0.0011,-9e-04,0.0089,-0.015,-0.011,-0.003,0.0084
"2019-07-08",-0.0055,-0.0206,-0.0135,-0.0182,0.0028,0.0066,0.003
"2019-07-09",0.0012,0.0061,0.0076,0.0098,0.0031,0.0014,-0.0125
"2019-07-10",0.0048,0.0099,0.0139,-5e-04,-0.0014,9e-04,-0.0222
"2019-07-11",0.0023,-0.0073,0.0033,-0.045,-0.0078,0.0083,0.0072
"2019-07-12",0.0045,0.0077,6e-04,-0.0157,-0.0415,0.006,0.0123
"2019-07-15",3e-04,0.0094,0.0048,0.0154,0.0031,0.0033,-0.0083
"2019-07-16",-0.0032,-0.0035,0.0028,0.0078,-0.0164,-0.0019,0.0174
"2019-07-17",-0.0068,-0.0056,-0.0063,0.004,-0.0048,-0.0014,-0.0051
"2019-07-18",0.0037,0.0114,0,0.0094,0.0016,0.001,0.0073
"2019-07-19",-0.0056,-0.0149,-0.0142,-0.0157,-0.0133,-0.0071,-0.0055
"2019-07-22",0.0025,0.0229,0.0071,-0.0022,-0.0128,-0.0095,-0.009
"2019-07-23",0.0072,0.0078,0.0072,0.0101,0.0016,-0.0065,0.0151
"2019-07-24",0.0047,-8e-04,-0.0073,-0.0034,0.0073,-8e-04,0.0062
"2019-07-25",-0.0048,-0.0079,-0.005,0,0.0103,0.002,-0.0126
"2019-07-26",0.0067,0.0035,0.1045,-0.0039,-0.003,0.0071,-0.0103
"2019-07-29",-0.0018,0.0093,-0.0088,0.013,0.0175,-0.0066,0.002
"2019-07-30",-0.0025,-0.0043,-0.0115,0.0095,-0.0071,-0.0019,-0.004
"2019-07-31",-0.0109,0.0204,-0.0069,-0.0034,-0.0141,-0.015,-0.0055
"2019-08-01",-0.0087,-0.0216,-0.0063,0.0084,5e-04,-0.0091,-0.0437
"2019-08-02",-0.0075,-0.0212,-0.0124,0.0093,0.006,2e-04,-0.0133
"2019-08-05",-0.0301,-0.0523,-0.0349,-0.016,-0.0069,-0.0327,-0.009
"2019-08-06",0.014,0.0189,0.0153,0.0148,0.0047,0.0137,0.0245
"2019-08-07",6e-04,0.0104,0.0035,-0.0012,-0.0043,0.0087,0.0029
"2019-08-08",0.0196,0.0221,0.0262,0.0057,0.0113,0.0079,0.0095
"2019-08-09",-0.0068,-0.0082,-0.0139,0.0093,0.0027,-0.0114,-0.0166
"2019-08-12",-0.0122,-0.0025,-0.0112,0.0025,-8e-04,-0.0192,-0.0046
"2019-08-13",0.0156,0.0423,0.0192,0.0041,0.0113,0.0208,0.0269
"2019-08-14",-0.0296,-0.0298,-0.0275,-0.0311,-0.0237,-0.0113,-0.0279
"2019-08-15",0.0026,-0.005,0.0026,7e-04,0.0021,0.0611,0.0082
"2019-08-16",0.0148,0.0236,0.0089,0.0192,0.0063,0.0027,0.02
"2019-08-19",0.012,0.0186,0.0177,0.0133,0.0068,0.0073,0.0281
"2019-08-20",-0.0077,0,-0.0132,-0.0063,-0.0125,-0.0155,-0.0045
"2019-08-21",0.0081,0.0108,0.0072,0.0147,0.0071,-3e-04,0.2043
"2019-08-22",-3e-04,-8e-04,-0.0014,-0.0022,-0.002,-0.001,0.0322
"2019-08-23",-0.0257,-0.0462,-0.0321,-0.0205,-0.027,-0.0097,-0.0266
"2019-08-26",0.0111,0.019,0.0153,0.0111,0.008,0.0105,0.0124
"2019-08-27",-0.0039,-0.0113,-9e-04,-0.0042,0.0144,0.0038,-7e-04
"2019-08-28",0.007,0.0067,0.0027,0.0112,-0.0074,0.0027,0.0162
"2019-08-29",0.0128,0.0169,0.0186,0.0028,-0.0034,0.0121,0.0144
"2019-08-30",-4e-04,-0.0013,-0.004,-0.0029,9e-04,0.0016,-0.0082
"2019-09-03",-0.0058,-0.0146,-0.0166,0.0021,0.003,0.0033,-0.0031
"2019-09-04",0.0114,0.017,0.0111,-0.0069,9e-04,0.0111,0.0061
"2019-09-05",0.0129,0.0196,0.0254,6e-04,-0.0022,-0.0041,0.011
"2019-09-06",8e-04,-1e-04,-0.0053,0.0055,-0.0029,-0.0062,0.0121
"2019-09-09",5e-04,0.0043,-4e-04,-0.0358,-0.0098,0.0139,-0.0173
"2019-09-10",-2e-04,0.0118,0.0013,-0.0213,0.0205,-0.0024,0.0082
"2019-09-11",0.0071,0.0318,0.0117,0.0151,0.0125,-3e-04,0.0013
"2019-09-12",0.0035,-0.0022,0.0115,0.0047,-0.0056,0.0078,-3e-04
"2019-09-13",-7e-04,-0.0195,0.0043,-0.0018,0.0027,0.0044,-0.0087
"2019-09-16",-0.0031,0.0053,-0.0067,-0.007,-0.0095,-0.0158,-0.0095
"2019-09-17",0.0025,0.0036,-0.0017,0.0059,0.001,0.0081,0.003
"2019-09-18",6e-04,0.0094,0.0027,0.0062,0.0057,0.0056,-0.0029
"2019-09-19",-1e-04,-0.0081,0.0051,0.0114,-0.0023,-4e-04,0.0084
"2019-09-20",-0.0047,-0.0146,-0.0071,0.0142,0.0118,-0.0011,-0.0111
"2019-09-23",-2e-04,0.0045,0.0033,-0.0094,7e-04,0.0055,0.0198
"2019-09-24",-0.0078,-0.0048,-0.0124,-0.009,-0.0014,0.0066,-0.0122
"2019-09-25",0.0059,0.0154,0.0228,-0.006,-0.0043,6e-04,-0.006
"2019-09-26",-0.0021,-0.0052,-0.0041,0.0094,-0.0163,-0.0014,-0.0048
"2019-09-27",-0.0054,-0.0049,-0.0131,-0.0116,-0.0019,0.0013,-0.0016
"2019-09-30",0.0046,0.0235,-0.005,0.0153,0.0061,0.0019,0.0074
"2019-10-01",-0.0119,0.0028,-0.0114,-0.0068,0.0047,-0.007,-0.0091
"2019-10-02",-0.0177,-0.0251,-0.0236,-0.0238,0.0155,-0.0147,-0.0074
"2019-10-03",0.0082,0.0085,0.0095,0.0137,-0.0061,0.0016,0.0139
"2019-10-04",0.0135,0.028,0.0178,0.0273,0.0188,0.0159,0.0233
"2019-10-07",-0.0043,2e-04,-0.0011,-0.0072,-0.0037,-0.0079,-0.0105
"2019-10-08",-0.0155,-0.0117,-0.0154,-0.013,-0.0099,0.003,0.0053
"2019-10-09",0.0095,0.0117,0.0111,0.0107,-0.0199,0.0115,0.017
"2019-10-10",0.0068,0.0135,0.0053,-0.005,-0.0012,0.0057,0.0019
"2019-10-11",0.0104,0.0266,0.0056,0.0069,0.0176,0.0053,0.0114
"2019-10-14",-0.0011,-0.0014,0.0014,0.0041,-0.0046,-0.0089,-0.0061
"2019-10-15",0.0099,-0.0023,0.0213,0.0041,0.0162,0.003,0.0067
"2019-10-16",-0.0016,-0.004,5e-04,-0.0069,0.0175,-9e-04,0.0027
"2019-10-17",0.0029,0.0039,0.0076,-0.0077,0.0074,0.0035,0.0093
"2019-10-18",-0.0044,0.0048,-0.006,0.0105,-0.0622,-0.0058,-0.0037
"2019-10-21",0.0068,0.0173,5e-04,-0.0019,0.0025,0.005,0.0077
"2019-10-22",-0.0033,-0.0023,-0.0027,-0.0381,0.0092,-0.0013,-0.0043
"2019-10-23",0.0029,0.0134,0.0131,0.0193,0.0054,-0.0019,-0.0162
"2019-10-24",0.0016,0.0016,0.0015,-0.0035,-0.0185,-0.0021,-0.01
"2019-10-25",0.0041,0.0123,0.0033,-0.0039,0.0067,-5e-04,-0.0112
"2019-10-28",0.0056,0.01,0.0197,-7e-04,0.0065,0.0015,0.0064
"2019-10-29",-3e-04,-0.0231,-0.0212,0.0353,-5e-04,-0.0174,-0.0143
"2019-10-30",0.0031,-1e-04,-0.0011,0.0132,0.0288,0.0081,-0.002
"2019-10-31",-0.0027,0.0226,-9e-04,0.0051,-0.006,-0.0071,-0.0095
"2019-11-01",0.0093,0.0284,0.0108,-0.0198,-0.0064,0.0031,0.0085
"2019-11-04",0.004,0.0066,0.0138,-0.0122,-0.0074,-4e-04,0.0088
"2019-11-05",-0.0011,-0.0014,5e-04,-0.0117,0.0015,0.011,0.0119
"2019-11-06",2e-04,4e-04,-2e-04,0.004,0.0041,0.0054,0.0041
"2019-11-07",0.0035,0.0115,0.0132,-0.0044,0.0036,0.0061,7e-04
"2019-11-08",0.0025,0.0027,0.0019,0.0086,0.0119,-0.0066,-0.004
"2019-11-11",-0.0019,0.0079,-0.0093,-0.0037,-0.0077,-0.0033,0.0027
"2019-11-12",0.0021,-9e-04,-3e-04,0.0101,-0.0048,7e-04,-0.019
"2019-11-13",3e-04,0.0096,-6e-04,0.0083,-6e-04,0.0156,0.0021
"2019-11-14",0.0015,-0.0069,0.0104,-0.0032,-0.0024,-0.0027,0.0233
"2019-11-15",0.0072,0.0119,0.0179,0.0041,0.0304,-0.0148,0.0189
"2019-11-18",7e-04,0.005,-0.0106,-0.0091,-8e-04,0.0116,-0.011
"2019-11-19",-3e-04,-0.003,-0.004,0.0062,-1e-04,-0.003,-0.004
"2019-11-20",-0.0037,-0.0116,-0.0094,0.0073,0.0083,-0.0063,0.1406
"2019-11-21",-0.0016,-0.0045,-0.0013,0.0022,0.0037,0.0061,0.0096
"2019-11-22",0.0022,-9e-04,-0.0046,-1e-04,0.0119,-0.0042,-0.0049
"2019-11-25",0.0078,0.0175,0.0088,0.0029,4e-04,-0.0037,-0.0144
"2019-11-26",0.0023,-0.0078,0.0052,0.0191,-1e-04,0.0023,0.0136
"2019-11-27",0.0045,0.0134,-4e-04,0.0031,0.0042,-0.0036,-0.0078
"2019-11-29",-0.0037,-0.0022,-0.0061,-0.0049,-0.0019,0.0028,-0.0071
"2019-12-02",-0.0085,-0.0116,-0.0115,-0.0016,-9e-04,0.0016,-0.0082
"2019-12-03",-0.0067,-0.0178,0.0042,0.0039,-0.0015,-0.0051,5e-04
"2019-12-04",0.0062,0.0088,0.0195,0.0148,0.0162,2e-04,0.0039
"2019-12-05",0.0018,0.0147,0.0057,9e-04,0.0013,0.0042,0.0013
"2019-12-06",0.0091,0.0193,0.0094,0.0011,0.0059,0.0094,0.0028
"2019-12-09",-0.0031,-0.014,0.0022,-0.0015,9e-04,-0.0035,0.0114
"2019-12-10",-0.0011,0.0058,8e-04,0.0043,-0.0036,-0.0018,-0.0054
"2019-12-11",0.0028,0.0085,3e-04,-0.0013,0.0071,-0.0012,2e-04
"2019-12-12",0.0086,0.0025,0.0039,0.0066,0.0026,0.0064,0.0137
"2019-12-13",6e-04,0.0136,-0.0018,0.0026,3e-04,0.0044,-0.0024
"2019-12-16",0.0069,0.0171,0.0099,0.0011,0.0029,0.0021,-0.0099
"2019-12-17",2e-04,0.002,-0.0044,-0.003,0.0125,0.0061,0.0192
"2019-12-18",1e-04,-0.0024,-0.0018,0.0067,-0.0026,-0.0117,-0.0023
"2019-12-19",0.0041,0.001,0.0025,0.0041,0.0151,0.0018,0.0048
"2019-12-20",0.0044,-0.0021,-0.0048,0.0177,0.0049,0.0017,0.0035
"2019-12-23",0.0015,0.0163,-6e-04,0.0017,0.0026,-0.0105,-0.0063
"2019-12-24",0,0.001,-0.0039,-0.0033,-0.0035,0.004,0.0016
"2019-12-26",0.0053,0.0198,0.0125,-0.0011,-7e-04,1e-04,0.0026
"2019-12-27",-2e-04,-4e-04,-0.0063,0.0018,-5e-04,6e-04,0.0025
"2019-12-30",-0.0055,0.0059,-0.0117,-0.0051,-0.0031,-0.0016,-0.0025
"2019-12-31",0.0024,0.0073,7e-04,-9e-04,0.0039,-0.0047,-0.0053
"2020-01-02",0.0094,0.0228,0.0227,0.012,7e-04,8e-04,-0.0167
"2020-01-03",-0.0076,-0.0097,-0.0049,-0.0086,-0.0116,-0.0088,-0.0104
"2020-01-06",0.0038,0.008,0.0247,0.0043,-0.0012,-0.002,-0.0095
"2020-01-07",-0.0028,-0.0047,-6e-04,-0.0266,0.0061,-0.0093,0.0018
"2020-01-08",0.0053,0.0161,0.0079,-0.0067,-1e-04,-0.0034,-0.0032
"2020-01-09",0.0068,0.0212,0.011,0.0088,0.003,0.0103,8e-04
"2020-01-10",-0.0029,0.0023,0.007,0.0017,-0.0023,-0.0084,0.01
"2020-01-13",0.0069,0.0214,0.0066,-2e-04,0.0044,-0.0043,-0.0069
"2020-01-14",-0.0015,-0.0135,-0.0058,0.0047,0.0056,0.0026,0.0112
"2020-01-15",0.0023,-0.0043,0.0058,0.0179,0.0033,-0.0077,-0.0659
"2020-01-16",0.0083,0.0125,0.0087,-0.0039,0.0081,0.0054,-0.0058
"2020-01-17",0.0031,0.0111,0.0198,-0.0023,0.0065,-0.0081,0.0052
"2020-01-21",-0.002,-0.0068,0.0027,-0.011,7e-04,0.0055,-0.0246
"2020-01-22",1e-04,0.0036,0.001,-0.0036,-0.0068,0.0044,-0.0012
"2020-01-23",0.0011,0.0048,5e-04,-0.0122,0.0019,-0.0025,0.0143
"2020-01-24",-0.0089,-0.0029,-0.0134,-0.0291,-0.0014,-0.0124,-0.0105
"2020-01-27",-0.016,-0.0294,-0.0224,0.0014,0.0029,0.013,0.0128
"2020-01-28",0.0105,0.0283,0.013,0.0017,0.005,0.0064,-0.0029
"2020-01-29",-8e-04,0.0209,0.0042,0.0115,0.007,-0.0061,-0.0101
"2020-01-30",0.0032,-0.0014,-0.0019,-0.0085,-0.0012,0.006,0.0035
"2020-01-31",-0.0182,-0.0443,-0.0148,-0.0123,-0.0099,-0.0179,-0.0343
"2020-02-03",0.0074,-0.0027,0.0361,0.0222,0.0087,-0.0019,0.016
"2020-02-04",0.0152,0.033,-0.0262,0.0117,0.0095,0.0088,0.0066
"2020-02-05",0.0115,0.0082,8e-04,-0.0286,0.0158,0.0134,0.0201
"2020-02-06",0.0034,0.0117,0.0193,-0.0017,-0.003,-0.0043,-0.0034
"2020-02-07",-0.0053,-0.0136,0.002,-0.007,-0.0107,0.0012,0.0041
"2020-02-10",0.0075,0.0047,0.0199,0.0068,-2e-04,-0.0103,0.0119
"2020-02-11",0.0017,-0.006,1e-04,-0.0048,9e-04,0.0013,-0.0025
"2020-02-12",0.0064,0.0237,0.0063,-0.0235,-0.0059,0.0039,0.0122
"2020-02-13",-0.0011,-0.0071,-0.0024,-0.0154,-0.0066,0.0137,0.0014
"2020-02-14",0.0016,2e-04,0.004,0.0083,3e-04,0.0038,-0.0139
"2020-02-18",-0.0026,-0.0183,-7e-04,-0.0023,-0.0066,0.0148,0.016
"2020-02-19",0.0048,0.0145,0.0046,-0.0056,-0.0013,-0.0163,-0.0037
"2020-02-20",-0.0041,-0.0103,-0.0056,0.006,-0.0038,1e-04,0.0074
"2020-02-21",-0.0103,-0.0226,-0.0218,-0.0018,0.0105,0.0076,-0.0106
"2020-02-24",-0.0332,-0.0475,-0.0428,-0.0123,-0.0206,-0.0191,-0.0276
"2020-02-25",-0.0303,-0.0339,-0.0233,-0.013,-0.0086,-0.0166,-0.0181
"2020-02-26",-0.0037,0.0159,0.0034,-0.0041,-0.0067,-0.0053,-0.0095
"2020-02-27",-0.0449,-0.0654,-0.0539,-0.0233,-0.0317,-0.0297,-0.0455
"2020-02-28",-0.0042,-6e-04,0.0161,-0.0195,-0.0334,-0.0246,-0.0248
"2020-03-02",0.0433,0.0931,0.0372,0.0628,0.0412,0.0762,0.0588
"2020-03-03",-0.0286,-0.0318,-0.0344,-0.0275,-0.0316,-0.0256,-0.0295
"2020-03-04",0.042,0.0464,0.0336,0.0485,0.0582,0.0342,0.0187
"2020-03-05",-0.0332,-0.0324,-0.0487,-0.0168,-0.0102,-0.0073,-0.0172
"2020-03-06",-0.0165,-0.0133,-0.0156,0.0076,1e-04,0.0113,-2e-04
"2020-03-09",-0.0781,-0.0791,-0.0638,-0.0394,-0.0394,-6e-04,-0.0181
"2020-03-10",0.0517,0.072,0.0533,0.0388,0.0381,0.0224,0.0413
"2020-03-11",-0.0487,-0.0347,-0.0508,-0.0338,-0.0695,-0.0447,-0.0254
"2020-03-12",-0.0957,-0.0988,-0.0827,-0.0606,-0.0485,-0.0907,-0.1228
"2020-03-13",0.0855,0.1198,0.094,0.0394,0.0708,0.0966,0.0907
"2020-03-16",-0.1094,-0.1286,-0.111,-0.089,-0.0533,-0.0643,-0.0716
"2020-03-17",0.054,0.044,0.0327,0.0652,0.0744,0.1171,0.1049
"2020-03-18",-0.0506,-0.0245,-0.0205,-0.0383,-0.0119,0.0278,-0.0078
"2020-03-19",0.0021,-0.0077,0.0169,-0.0126,-0.0586,-0.0212,-0.0226
"2020-03-20",-0.0431,-0.0635,-0.0385,0.0089,-0.0564,-0.0459,-0.0308
